id,group,aritfact
3803,com.aoapps,ao-encoding-taglib
3804,com.aoapps,ao-fluent-html
3805,com.aoapps,ao-fluent-html-any
3806,com.aoapps,ao-fluent-html-servlet
3807,com.aoapps,ao-fluent-html-util
3808,com.aoapps,ao-hodgepodge
3809,com.aoapps,ao-io-buffer
3810,com.aoapps,ao-lang
3811,com.aoapps,ao-net-types
3812,com.aoapps,ao-payments-api
3813,com.aoapps,ao-security
3814,com.aoapps,ao-servlet-filter
3815,com.aoapps,ao-servlet-last-modified
3816,com.aoapps,ao-servlet-util
3817,com.aoapps,ao-sql
3818,com.aoapps,ao-style
3819,com.aoapps,ao-taglib
3820,com.aoapps,ao-tempfiles-servlet
3821,com.aoapps,ao-web-resources-registry
3822,com.aoapps,ao-web-resources-renderer
3823,com.aoapps,ao-web-resources-servlet
3824,com.aoindustries,aoserv-client
3825,com.aoindustries,aoserv-credit-cards
3826,com.aoindustries,aoserv-daemon-client
3827,com.semanticcms,semanticcms-core-taglib
3828,org.apache.struts,struts-core
3829,org.apache.struts,struts-taglib
3830,org.apache.struts,struts2-convention-plugin
3831,org.apache.struts,struts2-core
3832,com.aoapps,ao-tempfiles
3833,com.aoapps,ao-tlds
3834,org.ow2.asm,asm-commons
3835,org.ow2.asm,asm-tree
3836,commons-chain,commons-chain
3837,com.semanticcms,semanticcms-core-model
3838,com.aoapps,ao-mime-mappings
3839,com.semanticcms,semanticcms-core-servlet
3840,com.aoapps,ao-concurrent
3841,com.aoapps,ao-servlet-subrequest
3842,com.aoapps,javaee-web-api-bom
3843,com.google.api,gax
3844,com.google.auth,google-auth-library-credentials
3845,com.google.cloud,google-cloud-recaptchaenterprise
3846,com.google.api.grpc,proto-google-cloud-recaptchaenterprise-v1
3847,com.aoindustries,aoweb-struts
3848,com.aoapps,ao-badges
3849,com.semanticcms,semanticcms-changelog-taglib
3850,com.semanticcms,semanticcms-section-taglib
3851,com.semanticcms,semanticcms-tag-reference
3852,com.aoapps,ao-tld-parser
3853,com.semanticcms,semanticcms-news-model
3854,com.semanticcms,semanticcms-news-servlet
3855,com.semanticcms,semanticcms-section-model
3856,com.semanticcms,semanticcms-section-servlet
3857,com.aoapps,ao-javadoc-offline
3858,io.dropwizard,dropwizard-json-logging
3859,ch.qos.logback,logback-access
3860,io.sentry,sentry
3861,org.parboiled,parboiled-java
3862,com.github.rholder,guava-retrying
3863,io.grpc,grpc-context
3864,com.google.apis,google-api-services-storage
3865,io.dropwizard,dropwizard-dependencies
3866,io.dropwizard,dropwizard-core
3867,io.dropwizard,dropwizard-assets
3868,io.dropwizard,dropwizard-http2
3869,org.eclipse.jetty.http2,http2-common
3870,io.dropwizard,dropwizard-testing
3871,com.networknt,json-schema-validator
3872,org.testcontainers,mockserver
3873,org.mock-server,mockserver-client-java
3874,dev.samstevens.totp,totp
3875,com.azure.spring,spring-cloud-azure-starter-active-directory
3876,org.flywaydb,flyway-database-postgresql
3877,org.hibernate.orm,hibernate-hikaricp
3878,org.springframework.boot,spring-boot-autoconfigure-processor
3879,com.bloomberg.bmq,bmq-sdk
3880,com.github.docker-java,docker-java-core
3881,com.github.docker-java,docker-java-transport-httpclient5
3882,ch.qos.logback.contrib,logback-json-classic
3883,io.zipkin.gcp,zipkin-sender-stackdriver
3884,io.zipkin.gcp,brave-propagation-stackdriver
3885,io.pivotal.cfenv,java-cfenv
3886,io.pivotal.cfenv,java-cfenv-test-support
3887,io.micrometer,micrometer-tracing-bom
3888,com.google.cloud,spring-cloud-gcp-core
3889,com.google.cloud,google-cloud-logging-logback
3890,org.springframework.experimental,spring-native-configuration
3891,com.google.cloud,spring-cloud-gcp-autoconfigure
3892,com.google.cloud,spring-cloud-gcp-data-firestore
3893,com.google.cloud,spring-cloud-gcp-cloudfoundry
3894,com.google.cloud,spring-cloud-gcp-pubsub
3895,com.google.cloud,spring-cloud-gcp-data-datastore
3896,com.google.cloud,spring-cloud-gcp-data-spanner
3897,com.google.cloud,spring-cloud-gcp-storage
3898,com.google.cloud,spring-cloud-gcp-logging
3899,com.google.cloud,spring-cloud-gcp-pubsub-stream-binder
3900,com.google.cloud,spring-cloud-gcp-security-iap
3901,com.google.cloud,spring-cloud-gcp-vision
3902,com.google.cloud,spring-cloud-gcp-bigquery
3903,com.google.cloud,spring-cloud-gcp-security-firebase
3904,com.google.cloud,spring-cloud-gcp-secretmanager
3905,com.google.cloud,spring-cloud-gcp-kms
3906,com.google.cloud,spring-cloud-gcp-starter-bus-pubsub
3907,com.google.cloud,spring-cloud-gcp-starter-cloudfoundry
3908,com.google.cloud,spring-cloud-gcp-starter-pubsub
3909,com.google.cloud,spring-cloud-gcp-starter-storage
3910,com.google.cloud,spring-cloud-gcp-starter-data-spanner
3911,com.google.cloud,spring-cloud-gcp-starter-data-datastore
3912,com.google.cloud,spring-cloud-gcp-starter-firestore
3913,com.google.cloud,spring-cloud-gcp-starter-sql-mysql
3914,com.google.cloud,spring-cloud-gcp-starter-sql-mysql-r2dbc
3915,com.google.cloud,spring-cloud-gcp-starter-sql-postgres-r2dbc
3916,com.google.cloud,spring-cloud-gcp-starter-trace
3917,com.google.cloud,spring-cloud-gcp-starter-logging
3918,com.google.cloud,spring-cloud-gcp-starter-metrics
3919,com.google.cloud,spring-cloud-gcp-starter-security-iap
3920,com.google.cloud,spring-cloud-gcp-starter-security-firebase
3921,com.google.cloud,spring-cloud-gcp-starter-vision
3922,com.google.cloud,spring-cloud-gcp-starter-bigquery
3923,com.google.cloud,spring-cloud-gcp-starter-secretmanager
3924,com.google.cloud,spring-cloud-gcp-starter-kms
3925,com.google.cloud,spring-cloud-spanner-spring-data-r2dbc
3926,com.google.cloud.sql,jdbc-socket-factory-core
3927,com.google.cloud.sql,mysql-socket-factory-connector-j-8
3928,com.google.cloud.sql,postgres-socket-factory
3929,com.google.cloud.sql,cloud-sql-connector-r2dbc-postgres
3930,com.google.cloud,cloud-spanner-r2dbc
3931,com.google.cloud.tools,linkage-checker-enforcer-rules
3932,com.google.cloud,google-cloud-kms
3933,com.google.api,gapic-generator-java-bom
3934,com.google.api,gapic-generator-java
3935,io.github.java-diff-utils,java-diff-utils
3936,com.google.cloud,gapic-showcase
3937,org.springframework.data,spring-data-rest-webmvc
3938,io.zipkin.brave,brave-instrumentation-messaging
3939,com.google.api.grpc,grpc-google-cloud-firestore-v1
3940,com.google.cloud,google-cloud-vision
3941,io.micrometer,micrometer-registry-stackdriver
3942,io.zipkin.brave,brave-tests
3943,org.springframework.cloud,spring-cloud-stream-test-support
3944,com.google.cloud,google-cloud-core-grpc
3945,org.springframework.cloud,spring-cloud-bus
3946,com.google.cloud.sql,cloud-sql-connector-r2dbc-mysql
3947,dev.miku,r2dbc-mysql
3948,com.google.api.grpc,grpc-google-cloud-trace-v1
3949,com.google.cloud,spring-cloud-gcp-starter-config
3950,org.jetbrains.kotlin,kotlin-maven-allopen
